date,section,rank1_name,rank1_value,rank2_name,rank2_value,rank3_name,rank3_value,rank4_name,rank4_value,rank5_name,rank5_value
"2025-10-05","code","GPT-5","88","Gemini 2.5 Pro Preview 06-05","82.2","o3","81.3","Gemini 2.5 Pro","76.5","DeepSeek-V3.2-Exp","74.5"
"2025-10-05","multimodal","GPT-5","84.2","o3","82.9","Gemini 2.5 Pro Preview 06-05","82","o4-mini","81.6","Gemini 2.5 Flash","79.7"
"2025-10-05","knowledge","Grok-4 Heavy","88.4","Grok-4","87.5","Gemini 2.5 Pro Preview 06-05","86.4","GPT-5","85.7","Claude 3.7 Sonnet","84.8"
"2025-10-05","longest_context","Llama 4 Scout","10.0M tokens","Gemini 1.5 Pro","2.1M tokens","Gemini 1.5 Flash","1.0M tokens","Gemini 1.5 Flash 8B","1.0M tokens","Gemini 2.0 Flash","1.0M tokens"
"2025-10-05","cheapest","DeepInfra","$0.17 / 1M tokens","Novita","$0.17 / 1M tokens","Lambda","$0.18 / 1M tokens","Groq","$0.20 / 1M tokens","Fireworks","$0.22 / 1M tokens"
"2025-10-05","fastest","Sambanova","639 tokens/s","Groq","307 tokens/s","Together","98 tokens/s","Lambda","94 tokens/s","DeepInfra","84 tokens/s"
"2025-10-06","code","GPT-5","88","Gemini 2.5 Pro Preview 06-05","82.2","o3","81.3","Gemini 2.5 Pro","76.5","DeepSeek-V3.2-Exp","74.5"
"2025-10-06","multimodal","GPT-5","84.2","o3","82.9","Gemini 2.5 Pro Preview 06-05","82","o4-mini","81.6","Gemini 2.5 Flash","79.7"
"2025-10-06","knowledge","Grok-4 Heavy","88.4","Grok-4","87.5","Gemini 2.5 Pro Preview 06-05","86.4","GPT-5","85.7","Claude 3.7 Sonnet","84.8"
"2025-10-06","longest_context","Llama 4 Scout","10.0M tokens","Gemini 1.5 Pro","2.1M tokens","Gemini 1.5 Flash","1.0M tokens","Gemini 1.5 Flash 8B","1.0M tokens","Gemini 2.0 Flash","1.0M tokens"
"2025-10-06","cheapest","DeepInfra","$0.17 / 1M tokens","Novita","$0.17 / 1M tokens","Lambda","$0.18 / 1M tokens","Groq","$0.20 / 1M tokens","Fireworks","$0.22 / 1M tokens"
"2025-10-06","fastest","Sambanova","639 tokens/s","Groq","307 tokens/s","Together","98 tokens/s","Lambda","94 tokens/s","DeepInfra","84 tokens/s"
"2025-10-07","code","GPT-5","88","Gemini 2.5 Pro Preview 06-05","82.2","o3","81.3","Gemini 2.5 Pro","76.5","DeepSeek-V3.2-Exp","74.5"
"2025-10-07","multimodal","GPT-5","84.2","o3","82.9","Gemini 2.5 Pro Preview 06-05","82","o4-mini","81.6","Gemini 2.5 Flash","79.7"
"2025-10-07","knowledge","Grok-4 Heavy","88.4","Grok-4","87.5","Gemini 2.5 Pro Preview 06-05","86.4","GPT-5","85.7","Claude 3.7 Sonnet","84.8"
